node_1,interface_1,node_2,interface_2,link_capacity_bps,igp_weight
swiff1,TenGigE0/0/0/12,swikl1,TenGigE0/0/2/3,1e+10,2500
swiff1,HundredGigE0/0/1/1,swizh2,HundredGigE0/0/0/5,5e+10,300
swiff1,HundredGigE0/0/1/4,swiff2,HundredGigE0/0/1/4,5e+10,50
swiff2,TenGigE0/0/0/12,swikr2,TenGigabitEthernet2/1,1e+10,2000
swiff2,TenGigE0/0/0/13,swikr2,TenGigabitEthernet3/3,1e+10,2000
swiff2,TenGigE0/0/0/11,swikr2,TenGigabitEthernet2/4,5e+09,5000
swiff2,HundredGigE0/0/1/1,swilg2,HundredGigE0/0/0/18,5e+10,1300
swifhsg1,TenGigabitEthernet1/5,swisg2,TenGigabitEthernet3/1,5e+09,350
swifhsg1,TenGigabitEthernet2/11,swisge2,TenGigabitEthernet0/0/26,5e+09,20000
swifr1,HundredGigE0/0/1/3,swils1,HundredGigE0/0/0/6,5e+10,400
swifr1,HundredGigE0/0/1/5,swifr2,HundredGigE0/0/1/5,5e+10,100
swigbl1,TenGigabitEthernet0/0/25,swigov2,TenGigabitEthernet0/0/25,5e+09,20000
swigbl1,TenGigabitEthernet0/0/27,swigbl2,TenGigabitEthernet0/0/27,5e+09,20000
swigbl2,TenGigabitEthernet0/0/25,swige2,TenGigE0/0/0/5,5e+09,20000
swige2,TenGigE0/0/0/2,swihug2,TenGigabitEthernet0/0/27,5e+09,20000
swige2,HundredGigE0/0/1/1,swige3,HundredGigE0/0/1/5,5e+10,150
swige3,TenGigE0/0/0/1,swihug1,TenGigabitEthernet0/0/27,5e+09,20000
swige3,TenGigE0/0/0/14,swigno1,TenGigE0/0/0/25,5e+09,20000
swige3,TenGigE0/0/0/15,swigov1,TenGigabitEthernet0/0/25,5e+09,20000
swige3,TenGigE0/0/0/16,swimdlp1,TenGigabitEthernet0/0/25,5e+09,30000
swige3,TenGigE0/0/0/17,swigla1,TenGigabitEthernet0/0/26,5e+09,20000
swigl1,GigabitEthernet0/0/22,swigl2,GigabitEthernet0/0/22,1e+09,20000
swigno1,TenGigE0/0/0/27,swigno2,TenGigE0/0/0/27,1e+10,20000
swigno2,TenGigE0/0/0/25,swinyr1,TenGigE0/0/0/25,1e+10,20000
swigo2,TenGigabitEthernet0/0/4,swisge1,TenGigabitEthernet0/0/26,1e+10,20000
swigo2,TenGigabitEthernet0/0/5,swikr2,TenGigabitEthernet3/1,1e+10,20000
swigov1,TenGigabitEthernet0/0/27,swigov2,TenGigabitEthernet0/0/27,1e+10,20000
swigr1,TenGigE0/0/0/26,swiol2,TenGigabitEthernet0/0/13,1e+10,20000
swigsa1,TenGigE0/0/0/27,swigsb1,TenGigE0/0/0/27,1e+10,20000
swigsb1,TenGigE0/0/0/25,swimaa1,TenGigE0/0/0/25,1e+10,20000
swihepvd1,TenGigabitEthernet0/0/2,swihepvd2,TenGigabitEthernet0/0/26,1e+10,1000
swihepvd1,TenGigabitEthernet0/0/5,swiimd2,TenGigabitEthernet0/0/5,1e+10,20000
swihepvd2,TenGigabitEthernet0/0/27,swils1,TenGigE0/0/0/23/2,1e+10,30000
swihfh2,TenGigabitEthernet0/0/26,swizh2,TenGigE0/0/0/19,1e+10,20000
swiho1,TenGigabitEthernet1/4,swisp1,TenGigE0/0/2/3,1e+10,5000
swiho1,TenGigabitEthernet3/1,swilz2,TenGigabitEthernet1/5,1e+10,400
swiho1,TenGigabitEthernet3/2,swikas1,TenGigabitEthernet0/0/26,1e+10,20000
swiho1,Vlan10,swijfj2,BDI10,0e+00,40000
swihug1,TenGigabitEthernet0/0/25,swihug2,TenGigabitEthernet0/0/25,1e+10,20000
swiibm1,TenGigabitEthernet0/0/25,swiix1,TenGigabitEthernet0/0/27,1e+10,30000
swiibm1,TenGigabitEthernet0/0/27,swiibm2,TenGigabitEthernet0/0/25,1e+10,1000
swiibm2,TenGigabitEthernet0/0/27,swiwsl1,TenGigabitEthernet0/0/25,1e+10,40000
swiix1,TenGigabitEthernet0/0/25,swiix3,TenGigE0/0/0/21,1e+10,5000
swiix3,HundredGigE0/0/0/0,swito1,HundredGigE0/0/1/0,1e+11,50
swiix3,HundredGigE0/0/0/2,swizh3,HundredGigE0/0/0/14,1e+11,140
swiixg3,HundredGigE0/0/0/20,swizh3,HundredGigE0/0/0/5,1e+11,1000
swiixg3,HundredGigE0/0/0/21,swizh3,HundredGigE0/0/0/8,1e+11,1000
swijfj2,GigabitEthernet0/0/22,swisp2,GigabitEthernet0/0/0,5e+08,20000
swikas1,TenGigabitEthernet0/0/27,swikas2,TenGigabitEthernet0/0/27,5e+09,20000
swikas2,TenGigabitEthernet0/0/26,swilz2,TenGigabitEthernet3/1,5e+09,20000
swikl1,TenGigE0/0/1/0,swikl2,TenGigE0/0/2/3,5e+09,5000
swikl2,TenGigE0/0/2/1,swizh2,TenGigE0/0/0/17,5e+09,800
swikr2,TenGigabitEthernet1/4,swilg2,TenGigE0/0/0/31/2,1e+10,3000
swikr2,TenGigabitEthernet1/5,swilg2,TenGigE0/0/0/31/3,1e+10,3000
swikr2,TenGigabitEthernet3/2,swisg2,TenGigabitEthernet3/4,5e+09,1000
swilab540,TenGigE0/0/0/23,swilab920,TenGigabitEthernet0/0/26,5e+09,20000
swilab540-28z4c,HundredGigE0/0/0/28,swilab55a1,HundredGigE0/0/0/0,5e+10,20000
swilab55a1,HundredGigE0/0/0/2,swilab8201,HundredGigE0/0/0/31,1e+11,100
swilab55a1,TenGigE0/0/0/23/1,swilab920,TenGigabitEthernet0/0/25,1e+10,20000
swilab55a1,HundredGigE0/0/0/6,swivi1,HundredGigE0/0/1/0,1e+11,50
swilab8201,TenGigE0/0/0/2/0,swilab9001,TenGigE0/0/2/3,1e+10,5000
swilab9001,GigabitEthernet0/0/0/18,swilab920,GigabitEthernet0/0/18,1e+09,30000
swilg1,HundredGigE0/0/0/1,swilg2,HundredGigE0/0/0/8,1e+11,100
swilg1,HundredGigE0/0/0/11,swilg2,HundredGigE0/0/0/9,1e+11,100
swilg1,HundredGigE0/0/0/17,swilg4,HundredGigE0/0/0/17,5e+10,100
swilg2,TenGigE0/0/0/27,swima1,TenGigE0/0/2/3,5e+09,3000
swilg2,TenGigE0/0/0/28,swislf1,TenGigabitEthernet2/2,5e+09,3000
swilg2,FourHundredGigE0/0/0/6,swilg4,FourHundredGigE0/0/0/6,2e+11,50
swilg2,HundredGigE0/0/0/11,swisi2,HundredGigE0/0/1/1,5e+10,1000
swilg4,TenGigE0/0/0/24,swilo2,TenGigE0/0/2/1,5e+09,100
swilgd1,HundredGigE0/0/1/0,swilgd2,HundredGigE0/0/1/0,5e+10,50
swilgd1,HundredGigE0/0/1/1,swips1,HundredGigE0/0/1/1,5e+10,650
swilgd2,HundredGigE0/0/1/1,swisgd3,HundredGigE0/0/1/1,5e+10,500
swili1,TenGigabitEthernet0/0/26,swili2,TenGigabitEthernet0/0/26,5e+09,200
swilo2,TenGigE0/0/2/0,swivi2,TenGigE0/0/2/1,5e+09,1500
swils1,TenGigE0/0/0/17,swiyv2,TenGigE0/0/2/1,5e+09,3000
swils1,TenGigE0/0/0/21/0,swine2,TenGigE0/0/1/2,5e+09,1750
swils1,TenGigE0/0/0/23/1,swils3,TenGigabitEthernet0/0/25,5e+09,20000
swima1,TenGigE0/0/2/2,swimc2,TenGigE0/0/0/27,5e+09,20000
swimaa1,TenGigE0/0/0/27,swimaa2,TenGigE0/0/0/27,5e+09,20000
swimdlp1,TenGigabitEthernet0/0/27,swimdlp2,TenGigabitEthernet0/0/27,5e+09,20000
swimetas1,TenGigabitEthernet0/0/5,swimetas2,TenGigabitEthernet0/0/27,5e+09,200
swimy2,TenGigE0/0/2/1,swisi1,TenGigE0/0/0/44,5e+09,1000
swine1,TenGigE0/0/1/3,swinpb1,TenGigE0/0/0/25,5e+09,20000
swine1,TenGigE0/0/2/0,swine2,TenGigE0/0/1/1,5e+09,350
swine1,TenGigE0/0/2/3,swiyv2,TenGigE0/0/2/0,5e+09,1100
swine2,TenGigE0/0/1/3,swinpa1,TenGigE0/0/0/25,5e+09,20000
swinpa1,TenGigE0/0/0/27,swinpb1,TenGigE0/0/0/27,5e+09,20000
swinyr1,TenGigE0/0/0/27,swinyr2,TenGigE0/0/0/27,5e+09,20000
swiol2,TenGigabitEthernet0/0/12,swizh3,TenGigE0/0/0/15,5e+09,20000
swips1,HundredGigE0/0/1/4,swips2,HundredGigE0/0/1/4,1e+11,100
swips1,HundredGigE0/0/1/5,swips2,HundredGigE0/0/1/5,1e+11,100
swips1,TenGigE0/0/0/18,swists1,TenGigabitEthernet0/0/27,5e+09,30000
swips2,HundredGigE0/0/1/3,swizh3,HundredGigE0/0/0/2,5e+10,300
swira1,TenGigabitEthernet0/0/25,swira2,TenGigabitEthernet0/0/25,5e+09,20000
swira1,TenGigabitEthernet0/0/27,swisa2,TenGigE0/0/2/1,5e+09,20000
swisa2,TenGigE0/0/2/2,swislf2,TenGigabitEthernet1/4,5e+09,1000
swisgd1,TenGigE0/0/2/2,swisgd3,TenGigE0/0/0/0,5e+09,200
swisgd1,TenGigE0/0/2/3,swisgd2,TenGigE0/0/2/3,5e+09,200
swisgd2,TenGigE0/0/2/2,swisgd4,TenGigE0/0/0/0,5e+09,200
swisgd3,HundredGigE0/0/1/0,swisgd4,HundredGigE0/0/1/0,5e+10,50
swisge1,TenGigabitEthernet0/0/27,swisge2,TenGigabitEthernet0/0/27,5e+09,20000
swisi1,HundredGigE0/0/1/4,swisi2,HundredGigE0/0/1/4,5e+10,200
swisi2,TenGigE0/0/0/44,swivi2,TenGigE0/0/2/0,5e+09,1000
swislf1,TenGigabitEthernet1/5,swislf2,TenGigabitEthernet1/5,5e+09,200
swisnf1,GigabitEthernet0/0/3,swisnf2,GigabitEthernet0/0/3,5e+08,20000
swisnf1,TenGigabitEthernet0/0/26,swisnf2,TenGigabitEthernet0/0/26,5e+09,20000
swisnm1,TenGigabitEthernet0/0/25,swizgl2,TenGigabitEthernet0/0/25,5e+09,20000
swisnm1,TenGigabitEthernet0/0/26,swisnm2,TenGigabitEthernet0/0/26,5e+09,40000
swisp1,TenGigE0/0/0/0,swisp2,TenGigabitEthernet0/0/12,5e+09,20000
swisp1,TenGigE0/0/2/1,swivi2,TenGigE0/0/2/3,5e+09,2600
swisp2,TenGigabitEthernet0/0/13,swithu2,TenGigabitEthernet0/0/26,5e+09,200
swithu1,TenGigabitEthernet0/0/27,swithu2,TenGigabitEthernet0/0/27,5e+09,1000
swito1,TenGigE0/0/0/13,swiukb2,TenGigabitEthernet0/0/25,5e+09,20000
swito1,TenGigE0/0/0/15,swizar1,TenGigabitEthernet0/0/25,5e+09,20000
swito1,HundredGigE0/0/1/5,swizh3,HundredGigE0/0/0/13,5e+10,100
swiukb1,TenGigabitEthernet0/0/2,swiukb2,TenGigabitEthernet0/0/26,5e+09,20000
swiwsl1,TenGigabitEthernet0/0/27,swiwsl2,TenGigabitEthernet0/0/27,5e+09,250
swizar1,TenGigabitEthernet0/0/27,swizgl1,TenGigabitEthernet0/0/25,5e+09,20000
swizbe1,TenGigE0/0/0/27,swizbu1,TenGigE0/0/0/27,5e+09,20000
swizbu1,TenGigE0/0/0/25,swizh3,TenGigE0/0/0/21/0,5e+09,20000
swizgl1,TenGigabitEthernet0/0/27,swizgl2,TenGigabitEthernet0/0/27,5e+09,20000
swizh2,HundredGigE0/0/0/29,swizh3,HundredGigE0/0/0/19,1e+11,50
swizh2,HundredGigE0/0/0/30,swizh3,HundredGigE0/0/0/20,1e+11,50
